GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AlphaLab,br.edu.ifmt.cba.alphalab.entity.software,Software,3,0,0,0,1,0,1,0,1,0
AlphaLab,br.edu.ifmt.cba.alphalab.gui.javafx,Main,7,0,0,0,3,0,2,0,2,0
AlphaLab,br.edu.ifmt.cba.alphalab.entity.laboratorio,Laboratorio,3,0,0,0,1,0,1,0,1,0
AlphaLab,br.edu.ifmt.cba.alphalab.entity.laboratorio,Problema,3,0,0,0,1,0,1,0,1,0
AlphaLab,br.edu.ifmt.cba.alphalab.entity.laboratorio,Departamento,3,0,0,0,1,0,1,0,1,0
AlphaLab,br.edu.ifmt.cba.alphalab.entity.laboratorio,Reserva,3,0,0,0,1,0,1,0,1,0
AlphaLab,br.edu.ifmt.cba.alphalab.entity.laboratorio,Requisito,3,0,0,0,1,0,1,0,1,0
AlphaLab,br.edu.ifmt.cba.alphalab.entity.equipamentos,Equipamento,3,0,0,0,1,0,1,0,1,0
AlphaLab,br.edu.ifmt.cba.alphalab.entity.equipamentos,Recurso,3,0,0,0,1,0,1,0,1,0
AlphaLab,br.edu.ifmt.cba.alphalab.entity.equipamentos,Emprestimo,3,0,0,0,1,0,1,0,1,0
AlphaLab,br.edu.ifmt.cba.alphalab.entity.pessoa,Servidor,3,0,0,0,1,0,1,0,1,0
